run,time,nnz,rmse
39,10.00076079,1613538,2.215745738
39,20.00070238,3277719,1.899345505
39,30.00202775,5081079,1.723687421
39,40.00024247,6738014,1.619508242
39,50.00022221,8537212,1.536809635
39,60.00070047,10318562,1.474218942
39,70.0006969,12966001,1.46578024
39,80.00115728,14660225,1.426253978
39,90.00057983,16457127,1.389691378
39,100.0007281,18165197,1.359395044
39,110.0003314,19887651,1.332460469
39,120.000082,21682510,1.30719129
39,130.0003018,23426789,1.285260264
39,140.0005996,26151691,1.267905075
39,150.0006328,27922202,1.250317641
39,160.0022323,29614338,1.234874434
39,170.0016744,31356500,1.220100138
39,180.000272,33083012,1.20647597
39,190.0003426,34853047,1.193532607
39,200.0008388,37537284,1.183242202
39,210.0002358,39306613,1.172253795
39,220.0004003,41029913,1.162233703
39,230.0010519,42699333,1.153007833
39,240.0005407,44406250,1.144098135
39,250.0002351,46193309,1.135195283
39,260.0004928,48913796,1.12813894
39,270.0002024,50640128,1.120391678
39,280.0006208,52428555,1.112892425
39,290.0002723,54260304,1.105530729
39,300.0000193,55929771,1.099001765
39,310.0003154,57677958,1.092480354
39,320.0008841,60375329,1.087775834
39,330.0001645,62086281,1.081887464
39,340.0003855,63881769,1.075988609
39,350.0002277,65571098,1.070598818
39,360.0013907,67302941,1.06523431
39,370.0006936,69038132,1.060032039
39,380.0008483,71730369,1.056510549
39,390.0009973,73486160,1.051658929
39,400.0002935,75195596,1.047151377
39,410.0005786,76988679,1.042465674
39,420.0006552,78730350,1.038040326
39,430.00032,80466257,1.033814442
39,440.0013397,82200180,1.029667044
39,450.00102,84923090,1.025155575
39,460.0007844,86657831,1.021282452
39,470.000772,88383495,1.017509503
39,480.0011225,90106576,1.013851922
39,490.0011778,91866950,1.010201857
39,500.0003853,93559234,1.006791097
39,510.0005178,96345250,1.00307405
39,520.0008197,98025849,0.9998780694
39,530.0001345,99750295,0.9966819278
39,540.0006125,101497470,0.9935094639
39,550.0005426,103224913,0.9904302122
39,560.0009055,104923338,0.9874306923
39,570.0009215,107614156,0.9862012349
39,580.0002995,109428230,0.9832199525
39,590.0014229,111172174,0.9803560023
39,600.0000026,112931430,0.9775826795
39,610.0006616,114625794,0.9749161785
39,620.0001483,116382091,0.9721761077
39,630.0006998,118149915,0.9694836899
39,640.0004239,120876817,0.9685323569
39,650.0007484,122599518,0.9660393866
39,660.0023439,124385623,0.9634667306
39,670.0006554,126100386,0.9610393031
39,680.0002725,127723230,0.9587455778
39,690.0006504,129526142,0.9562768095
39,700.0018525,132207774,0.9554972142
39,710.0004158,133937741,0.9532190966
39,720.0011294,135702023,0.9509131625
39,730.0009081,137480398,0.948598326
39,740.0006554,139207844,0.9464058717
